YEAR,A_001,A_002,A_003,A_004,A_006,A_007,A_009,A_011,A_013,A_014,A_016,A_017,A_018,A_019,A_026,A_027,A_034,J_02_01_011_1,J_02_01_011_2,J_02_01_011_3,J_02_01_011_4,J_02_01_011_5,J_02_01_011_6,J_02_01_011_7,J_02_01_011_8,J_02_01_011_9,J_02_01_011_10,J_02_01_011_11,J_02_01_011_12,J_02_01_011_13,C_02_037,C_03_009,C_06_022,C_09_036,C_16_014,C_17_013,C_01_006,J_02_01_009#1,J_02_01_009#2,J_02_01_009#3,J_02_01_009#4,J_02_01_009#5,J_02_01_009#6,J_02_01_009#7,J_02_01_009#8,J_02_01_009#9,J_02_01_009#10,J_02_01_009#11,J_02_01_009#12,J_02_01_009#13,J_02_01_008
조사년도,성별,연령_10,연령_1,지역,직업,가구월소득,본인월소득,한달지출액,최종학력,월소득여부,주거 형태,주택 형태,종교,결혼 여부,자녀 여부,자녀 총 수,맞벌이 여부,최근접촉매체,최근접촉매체,최근접촉매체,최근접촉매체,최근접촉매체,최근접촉매체,최근접촉매체,최근접촉매체,최근접촉매체,최근접촉매체,최근접촉매체,최근접촉매체,최근접촉매체,지상파관심도,종편케이블관심도,VOD관심도,라디오관심도,종이신문관심도,잡지관심도,인터넷모바일관심도,영향매체_휴대폰,영향매체_휴대폰,영향매체_휴대폰,영향매체_휴대폰,영향매체_휴대폰,영향매체_휴대폰,영향매체_휴대폰,영향매체_휴대폰,영향매체_휴대폰,영향매체_휴대폰,영향매체_휴대폰,영향매체_휴대폰,영향매체_휴대폰,영향매체_휴대폰
2019,1,4,45,5,4,5,5,1,4,1,1,2,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,0,0,1.0 ,1,2,3,12,0,0,0,0,0,0,0,0,0,4
2019,1,4,45,5,1,5,5,2,6,1,1,3,1,2,1,99,0,1,2,7,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2.7 ,1,2,7,8,9,7,0,0,0,0,0,0,0,5
2019,1,5,53,5,4,4,4,1,6,1,1,2,2,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0.7 ,1,2,0,0,0,0,0,0,0,0,0,0,0,5
2019,1,5,53,5,4,6,5,1,4,1,1,2,1,1,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2.0 ,1,2,0,0,0,0,0,0,0,0,0,0,0,4
2019,1,5,53,5,4,9,4,1,4,1,1,2,3,1,2,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,1.3 ,1,2,9,0,0,0,0,0,0,0,0,0,0,4
2019,1,5,54,5,4,7,5,2,6,1,1,2,1,1,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,1.3 ,1,2,0,0,0,0,0,0,0,0,0,0,0,4
2019,1,5,52,5,4,6,3,2,4,1,1,2,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,2.3 ,1,2,12,0,0,0,0,0,0,0,0,0,0,3
2019,1,5,59,5,4,5,3,1,4,1,1,1,1,1,2,2,2,1,12,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0.0 ,1,2,12,0,0,0,0,0,0,0,0,0,0,4
2019,1,5,57,5,1,6,6,2,6,1,1,2,1,1,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,3,0,1.0 ,1,2,0,0,0,0,0,0,0,0,0,0,0,4
2019,1,5,58,5,4,5,3,1,3,1,1,2,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,0,0.7 ,1,2,4,0,0,0,0,0,0,0,0,0,0,5
2019,1,5,55,5,4,5,4,2,4,1,1,2,1,1,2,2,1,1,2,7,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,2,2.0 ,1,2,7,9,7,0,0,0,0,0,0,0,0,4
2019,1,5,59,5,4,4,4,1,4,1,1,1,1,1,2,2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0.7 ,1,2,9,7,12,0,0,0,0,0,0,0,0,3
2019,1,6,62,5,7,4,0,1,3,2,1,1,1,1,2,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0.0 ,1,2,0,0,0,0,0,0,0,0,0,0,0,5
2019,1,6,62,5,4,4,3,1,3,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0.0 ,1,0,0,0,0,0,0,0,0,0,0,0,0,4
2019,1,6,60,5,4,4,4,2,4,1,1,1,1,1,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.7 ,1,2,0,0,0,0,0,0,0,0,0,0,0,4
2019,1,6,60,5,4,7,3,1,4,1,1,1,3,1,2,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,1.3 ,1,2,0,0,0,0,0,0,0,0,0,0,0,4
2019,1,6,60,5,4,2,2,2,3,1,1,2,1,1,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3.5,0,0,0,0,1.0 ,1,2,0,0,0,0,0,0,0,0,0,0,0,5
2019,1,6,67,5,4,4,4,2,4,1,1,2,1,1,2,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0.0 ,1,2,9,12,0,0,0,0,0,0,0,0,0,3
2019,1,6,66,5,4,2,2,1,3,1,1,2,1,1,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2.5,0,0,0,0,1.3 ,1,2,0,0,0,0,0,0,0,0,0,0,0,4
2019,2,1,13,5,6,7,0,99,8,2,1,2,1,2,1,99,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,2.0 ,1,12,0,0,0,0,0,0,0,0,0,0,0,3
2019,2,1,19,5,6,5,0,1,11,2,1,2,1,2,1,99,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3.0 ,1,2,0,0,0,0,0,0,0,0,0,0,0,5
2019,2,1,18,5,6,7,0,1,9,2,1,2,1,2,1,99,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2.3 ,1,9,7,12,0,0,0,0,0,0,0,0,0,3
2019,2,2,24,5,6,8,0,1,11,2,1,2,1,2,1,99,0,1,7,12,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,1.3 ,1,7,12,0,0,0,0,0,0,0,0,0,0,4
2019,2,2,23,5,6,6,0,1,11,2,3,2,1,2,1,99,0,1,12,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.7 ,1,2,12,0,0,0,0,0,0,0,0,0,0,4
2019,2,2,20,5,6,7,0,1,11,2,1,2,1,2,1,99,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,2.0 ,1,2,0,0,0,0,0,0,0,0,0,0,0,4
2019,2,2,26,5,6,4,0,1,12,2,1,2,1,2,1,99,0,1,2,12,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3.0 ,1,2,7,8,9,7,7,12,0,0,0,0,0,5
2019,2,2,25,5,6,9,0,1,11,2,1,2,4,2,1,99,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2.0 ,1,2,0,0,0,0,0,0,0,0,0,0,0,4
2019,2,2,25,5,6,5,0,1,11,2,1,2,1,2,1,99,0,1,2,7,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3.0 ,1,2,7,7,12,0,0,0,0,0,0,0,0,5
2019,2,3,34,5,2,8,3,3,6,1,1,2,1,1,2,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,3,2.5,2,0,0,0,1.3 ,1,2,9,0,0,0,0,0,0,0,0,0,0,4
2019,2,3,32,5,5,4,0,1,6,2,2,2,1,1,2,1,2,9,12,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0.7 ,1,2,9,7,12,0,0,0,0,0,0,0,0,4
2019,2,3,30,5,3,6,3,2,6,1,1,1,1,1,1,99,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,1.3 ,1,2,0,0,0,0,0,0,0,0,0,0,0,4
2019,2,3,35,5,2,7,3,2,6,1,1,2,1,1,1,99,1,1,2,0,0,0,0,0,0,0,0,0,0,0,3,2,3,3,0,0,1.0 ,1,2,0,0,0,0,0,0,0,0,0,0,0,5
2019,2,3,36,5,5,6,0,2,4,2,1,2,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1.3 ,1,2,12,0,0,0,0,0,0,0,0,0,0,4
2019,2,3,37,5,3,5,2,2,6,1,1,1,1,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3.5,0,0,0,3,4.0 ,1,2,9,7,7,12,0,0,0,0,0,0,0,4
2019,2,3,37,5,5,5,0,2,6,2,1,2,3,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,2.0 ,1,0,0,0,0,0,0,0,0,0,0,0,0,3
2019,2,4,44,5,4,7,3,2,6,1,1,2,1,1,2,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,2,0,0,0.7 ,1,2,9,0,0,0,0,0,0,0,0,0,0,4
2019,2,4,44,5,3,6,2,1,4,1,1,2,4,1,2,2,1,99,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0.7 ,1,2,0,0,0,0,0,0,0,0,0,0,0,4
2019,2,4,41,5,5,4,0,2,6,2,1,2,1,1,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,1.3 ,1,2,0,0,0,0,0,0,0,0,0,0,0,4
2019,2,4,40,5,4,7,3,2,4,1,1,2,2,1,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,2.0 ,1,2,0,0,0,0,0,0,0,0,0,0,0,4
2019,2,4,41,5,5,5,0,2,6,2,1,2,1,1,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,1.3 ,1,2,0,0,0,0,0,0,0,0,0,0,0,4
2019,2,4,45,5,5,6,0,2,4,2,1,3,1,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0.7 ,1,2,0,0,0,0,0,0,0,0,0,0,0,5
2019,2,4,45,5,5,6,0,2,4,2,1,2,3,1,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,1.3 ,1,2,9,0,0,0,0,0,0,0,0,0,0,4
2019,2,4,48,5,3,7,3,2,4,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2.5,0,3,0,0,1.3 ,1,0,0,0,0,0,0,0,0,0,0,0,0,4
2019,2,4,45,5,5,6,0,2,4,2,1,2,1,1,2,2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2.0 ,1,12,0,0,0,0,0,0,0,0,0,0,0,4
2019,2,4,49,5,5,5,0,2,4,2,1,2,3,1,2,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,3,1.0 ,1,2,9,12,0,0,0,0,0,0,0,0,0,4
2019,2,5,53,5,5,4,0,1,3,2,1,2,1,1,2,1,2,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0 ,1,2,9,0,0,0,0,0,0,0,0,0,0,4
2019,2,5,50,5,5,4,0,1,4,2,1,2,1,1,2,2,2,1,9,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0.0 ,1,2,9,7,0,0,0,0,0,0,0,0,0,3
2019,2,5,51,5,5,4,0,2,6,2,1,2,1,1,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,1.3 ,1,2,0,0,0,0,0,0,0,0,0,0,0,4
2019,2,5,50,5,5,4,0,2,6,2,1,3,1,1,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3.5,0,0,0,0,1.0 ,1,2,9,7,7,12,0,0,0,0,0,0,0,4
2019,2,5,57,5,3,4,2,2,3,1,1,1,1,1,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0.0 ,1,2,0,0,0,0,0,0,0,0,0,0,0,5
2019,2,5,56,5,5,8,0,1,4,2,1,2,3,1,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,1.3 ,1,2,0,0,0,0,0,0,0,0,0,0,0,4
2019,2,5,55,5,5,4,0,2,4,2,1,2,1,1,2,2,2,1,2,12,0,0,0,0,0,0,0,0,0,0,3,3.5,3,3,0,3,1.0 ,1,2,9,12,0,0,0,0,0,0,0,0,0,5
2019,2,5,58,5,3,5,2,2,4,1,1,1,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0.7 ,1,12,0,0,0,0,0,0,0,0,0,0,0,4
2019,2,5,59,5,4,5,2,2,3,1,1,1,3,1,2,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,0,0,2.3 ,1,9,0,0,0,0,0,0,0,0,0,0,0,3
2019,2,6,60,5,5,2,0,1,3,2,1,1,3,3,2,2,0,1,2,4,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0.7 ,1,2,4,0,0,0,0,0,0,0,0,0,0,4
2019,2,6,62,5,5,2,0,1,4,2,1,2,4,1,2,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0.0 ,1,2,9,0,0,0,0,0,0,0,0,0,0,4
2019,2,6,63,5,3,3,2,1,4,1,1,2,3,1,2,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0.7 ,1,2,9,7,12,0,0,0,0,0,0,0,0,4
2019,2,6,64,5,3,3,3,1,4,1,1,1,2,3,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1.0 ,1,2,0,0,0,0,0,0,0,0,0,0,0,4
2019,2,6,67,5,3,9,2,2,3,1,1,4,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1.3 ,1,12,0,0,0,0,0,0,0,0,0,0,0,4
2019,2,6,69,5,5,4,0,99,2,2,1,1,3,1,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0.0 ,1,0,0,0,0,0,0,0,0,0,0,0,0,4
2019,1,1,15,3,6,3,0,99,8,2,5,2,1,2,1,99,0,1,2,3,4,5,6,7,8,7,7,12,98,0,3,3,3,0,0,0,3.0 ,1,2,3,7,9,12,0,0,0,0,0,0,0,4
2019,1,2,25,3,6,6,0,1,11,2,1,2,1,2,1,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2.0 ,1,0,0,0,0,0,0,0,0,0,0,0,0,4
2019,1,3,33,3,2,6,3,2,6,1,1,2,1,2,1,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7 ,1,7,8,9,0,0,0,0,0,0,0,0,0,4
2019,1,3,37,3,2,4,4,2,6,1,3,2,1,2,1,99,0,7,12,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2.3 ,1,2,9,7,7,12,0,0,0,0,0,0,0,4
2019,1,3,37,3,2,3,3,2,6,1,2,2,1,1,2,1,2,99,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,0,1.7 ,1,9,12,0,0,0,0,0,0,0,0,0,0,3
2019,1,4,44,3,3,5,5,3,5,1,1,2,1,1,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0.0 ,1,2,0,0,0,0,0,0,0,0,0,0,0,5
2019,1,4,46,3,1,6,4,3,6,1,1,2,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0 ,1,7,8,9,0,0,0,0,0,0,0,0,0,3
2019,1,5,53,3,1,7,7,2,6,1,1,2,1,1,2,2,2,1,2,7,7,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2.0 ,1,2,7,7,0,0,0,0,0,0,0,0,0,5
2019,1,5,55,3,4,3,3,2,4,1,1,2,3,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0 ,1,9,0,0,0,0,0,0,0,0,0,0,0,4
2019,2,1,18,3,6,6,0,1,9,2,1,2,1,2,1,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2.7 ,1,7,9,12,0,0,0,0,0,0,0,0,0,3
2019,2,2,22,3,6,7,0,1,11,2,1,2,1,2,1,99,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,2.7 ,1,2,7,12,0,0,0,0,0,0,0,0,0,4
2019,2,2,28,3,2,8,3,1,6,1,1,2,1,2,1,99,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,2.5,0,0,0,0,2.7 ,1,2,9,7,0,0,0,0,0,0,0,0,0,4
2019,2,3,33,3,2,6,3,2,6,1,2,2,1,1,2,1,1,1,2,7,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2.3 ,1,2,9,7,12,0,0,0,0,0,0,0,0,5
2019,2,3,39,3,3,7,3,1,5,1,5,2,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1.3 ,1,0,0,0,0,0,0,0,0,0,0,0,0,4
2019,2,3,38,3,3,5,2,4,5,1,2,2,1,1,2,2,1,99,0,0,0,0,0,0,0,0,0,0,0,0,3,2.5,0,0,0,0,2.3 ,9,12,0,0,0,0,0,0,0,0,0,0,0,3
2019,2,4,42,3,5,4,0,2,4,2,1,2,1,1,2,2,2,1,5,6,7,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0.7 ,1,0,0,0,0,0,0,0,0,0,0,0,0,4
2019,2,4,44,3,3,4,2,2,4,1,1,2,1,1,2,2,1,99,0,0,0,0,0,0,0,0,0,0,0,0,3,2.5,0,0,0,0,0.7 ,9,12,0,0,0,0,0,0,0,0,0,0,0,3
2019,2,4,48,3,3,3,0,2,4,2,1,2,3,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.7 ,1,9,0,0,0,0,0,0,0,0,0,0,0,3
2019,2,5,50,3,1,8,4,5,6,1,1,2,1,1,2,2,1,99,0,0,0,0,0,0,0,0,0,0,0,0,3,1.5,0,0,0,0,2.7 ,9,0,0,0,0,0,0,0,0,0,0,0,0,4
2019,2,5,59,3,4,5,2,1,4,1,1,2,1,1,2,2,1,1,2,9,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,1.3 ,1,2,9,12,0,0,0,0,0,0,0,0,0,4
2019,1,1,14,2,6,4,0,1,8,2,1,2,2,2,1,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2.0 ,1,9,7,12,0,0,0,0,0,0,0,0,0,4
2019,1,1,14,2,6,6,0,1,8,2,1,2,1,2,1,99,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3.0 ,7,0,0,0,0,0,0,0,0,0,0,0,0,4
2019,1,1,14,2,6,5,0,99,8,2,1,2,1,2,1,99,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0 ,2,0,0,0,0,0,0,0,0,0,0,0,0,3
2019,1,1,14,2,6,4,0,1,8,2,2,2,2,2,1,99,0,1,2,7,8,7,12,0,0,0,0,0,0,0,0,0,2,0,0,0,2.3 ,1,2,7,8,9,7,12,0,0,0,0,0,0,4
2019,1,1,14,2,6,7,0,99,8,2,1,2,1,2,1,99,0,1,9,12,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1.3 ,1,9,12,0,0,0,0,0,0,0,0,0,0,4
2019,1,1,13,2,6,6,0,99,8,2,2,2,1,2,1,99,0,1,2,7,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1.3 ,1,2,7,9,0,0,0,0,0,0,0,0,0,5
2019,1,1,13,2,6,5,0,1,8,2,2,1,1,2,1,99,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1.3 ,1,2,9,7,7,12,0,0,0,0,0,0,0,4
2019,1,1,13,2,6,6,0,1,8,2,1,2,2,2,1,99,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2.0 ,9,0,0,0,0,0,0,0,0,0,0,0,0,2
2019,1,1,13,2,6,6,0,1,8,2,1,2,2,2,1,99,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2.0 ,7,12,0,0,0,0,0,0,0,0,0,0,0,2
2019,1,1,13,2,6,5,0,1,8,2,1,2,1,2,1,99,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1.3 ,9,12,0,0,0,0,0,0,0,0,0,0,0,2
2019,1,1,14,2,6,6,0,1,8,2,1,2,1,2,1,99,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1.3 ,1,2,9,12,0,0,0,0,0,0,0,0,0,4
2019,1,1,14,2,6,9,0,1,8,2,1,2,1,2,1,99,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,2.5,0,0,0,0,2.7 ,1,2,0,0,0,0,0,0,0,0,0,0,0,4
2019,1,1,14,2,6,5,0,1,8,2,1,2,1,2,1,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2.0 ,1,7,12,0,0,0,0,0,0,0,0,0,0,4
2019,1,1,14,2,6,6,0,1,8,2,1,2,1,2,1,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,3,2.7 ,1,2,0,0,0,0,0,0,0,0,0,0,0,4
2019,1,1,13,2,6,6,0,1,8,2,1,2,1,2,1,99,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0.7 ,12,0,0,0,0,0,0,0,0,0,0,0,0,3
2019,1,1,17,2,6,5,0,1,9,2,1,3,1,2,1,99,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2.0 ,12,0,0,0,0,0,0,0,0,0,0,0,0,3
2019,1,1,18,2,6,4,0,1,9,2,1,2,1,2,1,99,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.3 ,5,7,0,0,0,0,0,0,0,0,0,0,0,3
2019,1,1,15,2,6,5,0,1,8,2,1,2,2,2,1,99,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3.0 ,1,2,7,12,0,0,0,0,0,0,0,0,0,4
2019,1,1,15,2,6,8,0,1,8,2,1,2,2,2,1,99,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1.3 ,1,2,7,7,12,0,0,0,0,0,0,0,0,4
2019,1,1,16,2,6,7,0,99,9,2,1,2,1,2,1,99,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2.0 ,1,7,7,12,0,0,0,0,0,0,0,0,0,4
2019,1,1,19,2,6,5,0,1,2,2,1,2,1,2,1,99,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2.0 ,1,2,8,9,12,0,0,0,0,0,0,0,0,4
2019,1,1,15,2,6,8,0,1,8,2,1,2,1,2,1,99,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1.3 ,1,2,12,0,0,0,0,0,0,0,0,0,0,4
2019,1,1,18,2,6,8,0,1,3,2,1,2,1,2,1,99,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,1.5,0,0,0,0,1.0 ,1,7,0,0,0,0,0,0,0,0,0,0,0,3
2019,1,1,15,2,6,6,0,1,2,2,1,3,1,2,1,99,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2.0 ,12,0,0,0,0,0,0,0,0,0,0,0,0,3
2019,1,1,18,2,6,6,0,1,9,2,1,3,1,2,1,99,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2.0 ,1,2,0,0,0,0,0,0,0,0,0,0,0,4
2019,1,1,16,2,6,7,0,1,3,2,2,2,1,2,1,99,0,1,7,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1.7 ,1,9,7,0,0,0,0,0,0,0,0,0,0,3
2019,1,1,15,2,6,6,0,1,8,2,1,2,1,2,1,99,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2.0 ,1,2,0,0,0,0,0,0,0,0,0,0,0,4
2019,1,1,15,2,6,4,0,1,8,2,1,1,1,2,1,99,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,3.0 ,1,2,0,0,0,0,0,0,0,0,0,0,0,4
2019,1,1,15,2,6,6,0,1,2,2,1,2,1,2,1,99,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0 ,1,2,7,0,0,0,0,0,0,0,0,0,0,3
2019,1,1,16,2,6,8,0,1,9,2,1,2,1,2,1,99,0,98,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,2.0 ,1,2,7,12,0,0,0,0,0,0,0,0,0,4
2019,1,1,16,2,6,8,0,1,3,2,1,3,1,2,1,99,0,7,12,0,0,0,0,0,0,0,0,0,0,0,3,1.5,0,0,0,0,2.0 ,9,7,12,0,0,0,0,0,0,0,0,0,0,3
2019,1,1,16,2,6,8,0,99,9,2,1,2,1,2,1,99,0,1,2,7,8,9,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2.0 ,1,2,7,8,9,7,7,12,0,0,0,0,0,5
2019,1,1,15,2,6,7,0,99,8,2,1,2,1,2,1,99,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2.3 ,9,12,0,0,0,0,0,0,0,0,0,0,0,3
2019,1,1,19,2,6,4,0,1,11,2,2,3,1,2,1,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1.7 ,1,0,0,0,0,0,0,0,0,0,0,0,0,4
2019,1,1,18,2,6,8,0,1,9,2,1,2,2,2,1,99,0,98,0,0,0,0,0,0,0,0,0,0,0,0,2,2.5,0,0,0,0,2.3 ,1,2,9,0,0,0,0,0,0,0,0,0,0,4
2019,1,1,19,2,6,5,0,1,4,2,1,3,1,2,1,99,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1.3 ,12,0,0,0,0,0,0,0,0,0,0,0,0,3
2019,1,1,19,2,6,6,0,1,11,2,1,2,1,2,1,99,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2.0 ,1,2,0,0,0,0,0,0,0,0,0,0,0,4
2019,1,1,19,2,6,8,0,1,4,2,1,2,1,2,1,99,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.3 ,1,9,12,0,0,0,0,0,0,0,0,0,0,4
2019,1,1,19,2,6,7,0,1,4,2,1,2,1,2,1,99,0,98,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1.3 ,98,0,0,0,0,0,0,0,0,0,0,0,0,3
2019,1,1,17,2,6,6,0,99,9,2,1,2,1,2,1,99,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2.0 ,7,7,12,0,0,0,0,0,0,0,0,0,0,4
